Year;Sex;Age;Total
2005;Alls; 22 ára;2196
2005;Alls; 23 ára;2036
2005;Alls; 24 ára;1794
2005;Alls; 25 ára;1562
2005;Alls; 26 ára;1332
2005;Alls; 27 ára;1041
2005;Alls; 28 ára;815
2005;Alls; 29 ára;830
2005;Karlar;16 ára;2133
2005;Karlar; 17 ára;1986
2005;Karlar; 18 ára;1529
2005;Karlar; 19 ára;1329
2005;Karlar; 20 ára;1047
2005;Karlar; 21 ára;1045
2005;Karlar; 22 ára;958
2005;Karlar; 23 ára;923
2005;Karlar; 24 ára;850
2005;Karlar; 25 ára;700
2005;Karlar; 26 ára;586
2005;Karlar; 27 ára;426
2005;Karlar; 28 ára;306
2005;Karlar; 29 ára;351
2005;Konur;16 ára;2139
2005;Konur; 17 ára;1937
2005;Konur; 18 ára;1568
2005;Konur; 19 ára;1447
2005;Konur; 20 ára;1094
2005;Konur; 21 ára;1183
2005;Konur; 22 ára;1238
2005;Konur; 23 ára;1113
2005;Konur; 24 ára;944
2005;Konur; 25 ára;862
2005;Konur; 26 ára;746
2005;Konur; 27 ára;615
2005;Konur; 28 ára;509
2005;Konur; 29 ára;479
2006;Alls;16 ára;4498
2006;Alls; 17 ára;3867
2006;Alls; 18 ára;3511
2006;Alls; 19 ára;2949
2006;Alls; 20 ára;2118
2006;Alls; 21 ára;2087
2006;Alls; 22 ára;2137
2006;Alls; 23 ára;2079
2006;Alls; 24 ára;1794
2006;Alls; 25 ára;1557
2006;Alls; 26 ára;1302
2006;Alls; 27 ára;1208
2006;Alls; 28 ára;920
2006;Alls; 29 ára;746
2006;Karlar;16 ára;2258
2006;Karlar; 17 ára;1913
2006;Karlar; 18 ára;1710
2006;Karlar; 19 ára;1437
2006;Karlar; 20 ára;1035
2006;Karlar; 21 ára;952
2006;Karlar; 22 ára;957
2006;Karlar; 23 ára;862
2006;Karlar; 24 ára;787
2006;Karlar; 25 ára;707
2006;Karlar; 26 ára;573
2006;Karlar; 27 ára;515
2006;Karlar; 28 ára;373
2006;Karlar; 29 ára;293
2006;Konur;16 ára;2240
2006;Konur; 17 ára;1954
2006;Konur; 18 ára;1801
2006;Konur; 19 ára;1512
2006;Konur; 20 ára;1083
2006;Konur; 21 ára;1135
2006;Konur; 22 ára;1180
2006;Konur; 23 ára;1217
2006;Konur; 24 ára;1007
2006;Konur; 25 ára;850
2006;Konur; 26 ára;729
2006;Konur; 27 ára;693
2006;Konur; 28 ára;547
2006;Konur; 29 ára;453
2007;Alls;16 ára;4274
2007;Alls; 17 ára;4060
2007;Alls; 18 ára;3549
2007;Alls; 19 ára;3341
2007;Alls; 20 ára;2234
2007;Alls; 21 ára;2110
2007;Alls; 22 ára;2036
2007;Alls; 23 ára;1951
2007;Alls; 24 ára;1852
2007;Alls; 25 ára;1625
2007;Alls; 26 ára;1360
2007;Alls; 27 ára;1195
2007;Alls; 28 ára;1086
2007;Alls; 29 ára;863
2007;Karlar;16 ára;2192
2007;Karlar; 17 ára;2008
2007;Karlar; 18 ára;1706
2007;Karlar; 19 ára;1641
2007;Karlar; 20 ára;1160
2007;Karlar; 21 ára;974
2007;Karlar; 22 ára;901
2007;Karlar; 23 ára;850
2007;Karlar; 24 ára;765
2007;Karlar; 25 ára;723
2007;Karlar; 26 ára;614
2007;Karlar; 27 ára;532
2007;Karlar; 28 ára;461
2007;Karlar; 29 ára;347
2007;Konur;16 ára;2082
2007;Konur; 17 ára;2052
2007;Konur; 18 ára;1843
2007;Konur; 19 ára;1700
2007;Konur; 20 ára;1074
2007;Konur; 21 ára;1136
2007;Konur; 22 ára;1135
2007;Konur; 23 ára;1101
2007;Konur; 24 ára;1087
2007;Konur; 25 ára;902
2007;Konur; 26 ára;746
2007;Konur; 27 ára;663
2007;Konur; 28 ára;625
2007;Konur; 29 ára;516
2008;Alls;16 ára;4436
2008;Alls; 17 ára;3941
2008;Alls; 18 ára;3709
2008;Alls; 19 ára;3368
2008;Alls; 20 ára;2577
2008;Alls; 21 ára;2278
2008;Alls; 22 ára;2125
2008;Alls; 23 ára;1903
2008;Alls; 24 ára;1735
2008;Alls; 25 ára;1517
2008;Alls; 26 ára;1384
2008;Alls; 27 ára;1171
2008;Alls; 28 ára;1075
2008;Alls; 29 ára;991
2008;Karlar;16 ára;2288
2008;Karlar; 17 ára;2011
2008;Karlar; 18 ára;1786
2008;Karlar; 19 ára;1590
2008;Karlar; 20 ára;1312
2008;Karlar; 21 ára;1091
2008;Karlar; 22 ára;959
2008;Karlar; 23 ára;816
2008;Karlar; 24 ára;766
2008;Karlar; 25 ára;627
2008;Karlar; 26 ára;618
2008;Karlar; 27 ára;510
2008;Karlar; 28 ára;454
2008;Karlar; 29 ára;417
2008;Konur;16 ára;2148
2008;Konur; 17 ára;1930
2008;Konur; 18 ára;1923
2008;Konur; 19 ára;1778
2008;Konur; 20 ára;1265
2008;Konur; 21 ára;1187
2008;Konur; 22 ára;1166
2008;Konur; 23 ára;1087
2008;Konur; 24 ára;969
2008;Konur; 25 ára;890
2008;Konur; 26 ára;766
2008;Konur; 27 ára;661
2008;Konur; 28 ára;621
2008;Konur; 29 ára;574
2009;Alls;16 ára;4570
2009;Alls; 17 ára;4274
2009;Alls; 18 ára;3746
2009;Alls; 19 ára;3654
2009;Alls; 20 ára;2846
2009;Alls; 21 ára;2723
2009;Alls; 22 ára;2227
2009;Alls; 23 ára;1986
2009;Alls; 24 ára;1738
2009;Alls; 25 ára;1564
